======================================================================
GPU Scalar Multiplication Performance - GF(2^571) sect571r1
Lopez-Dahab Projective Coordinates + Itoh-Tsujii Inversion
======================================================================

Number of runs     : 50
Average time       : 2734.8645 ms
Median time        : 2735.9535 ms
Min time           : 2619.1504 ms (run #27)
Max time           : 2835.5029 ms (run #1)
Std deviation      : 57.3190 ms
Total time         : 136743.2227 ms

----------------------------------------------------------------------
Run   Time (ms)     Scalar k (hex)                                                                                                                                      x_aff (hex)
----------------------------------------------------------------------
1     2835.5029     0x41d6dbca8d439fab89631c77eaa2fdeb68bc1b1f98ed4d6a427540eddb1504ba4e077c573241f82d4bd5617864adecc4e11edb76b9706163a1ec4429d088a1ac5ef32edb9d43d51   0x11488e5675be1622a1628071cdfa1bf0a92c901ad6b7602751a121dda464301aa4a56a85e0d7ec4aea338f7262b3254b28c1ff3073848bfbaeae0124409373384746b692611a545
2     2772.0210     0x6d7ebfa6c48ef15be05c882608cf929c82251348752dbe529c37a3cb7f91fd81ae90617dfa9c8a2bcf281a2f2494b892122cb9975696b4d391535c937b3e76bd14d5015b449a9c9   0x35c7b5b43377f7a5f66974ef379f4f67cd6dd3a4977eed4d0cd898d85ce71a757bf0a4ffc23385ee0ccd10b56a4c40626099a6f6a45a5eadf80496553b9144b9a13ffde8c69db82
3     2711.9671     0x5465287cbe5614cf8ad47b0fc5cb71847a4bb22a600ac64b12a39afbef02c5bb10777a45db49e000a2644a627a4bf8a5b8d2a493fbf8f9b277b1a6956c53548ca9e394d9589842d   0x1862077bd16570de85f781a5c652b08e3464cd12183712864548a71e7af34f2ed50de44faa80a7cb2a5b6855f8993159e71412aa0332a582e03b05540c42a048e94dc8212d61b8c
4     2681.0558     0x601c1d5211add32d1d820ced14cb9d015f30ae8ee98f9d34b11b335e6b0ea931db43eb0558eb4b4f493286d4818200c0ea5f9051050dc7343647a89600d977174bd6c1a3e7ce9c7   0x5dc30e778fc61958863574e67118d33641b39939a5ef00c65d3e8fc65632fbf3e4396803f728ebf8687aded5804f24670bebc8cdf9da5f3d069952b3e940fd7e45646edbace4b6f
5     2821.0990     0x7078ae8257a3c524eaece1b60d85d96b9049536fc4a8f69b46ebbfe835315699c90d52e3ad866c4382b5fe41f2ab6629f067c8872e87ff3bd42ac028b7df6fded365eb1b067a6ed   0x34547be9b4b86be90f41a923e08e2a048a91e66b2bce0758ae13abe952e36cc66e746d15c6c820e4aed6164b0873ecb9acfa890c98089fb98cd44549cdaa6b65e541324174f4e44
6     2823.4081     0x6ebcabf9189dc4db775c5ddfbb6764ec56833fc54e6bac78b2980a29c84f66a03c23f63affbb8f03cf6e44719afecab5434d49c67e31eac20e187010ab06ca6caacbf17ae6b025f   0x24bf9476226b08d2f8e947ffee9fefea7e5479946a9deee79ee81d667d50ba60712e54ac7034f691fc6898d5724dcc8a58d8e111013a9aee9876f8f9dbce70503bcbe1ac314599d
7     2669.2913     0x5da416c0998689d38486234e441039a243700ab1fb5960c9d028a064707dc03377f41bf08823b53648eceead31076472a966f7fc7f7476a47a93ec8a77ec103359e4f267804a7c5   0x534b3e3d50ac19a60d135f03e85efb827e40188d1334b8edc2cb289687b358bf6f5a23daee92df1c23ee7e56fd8bd879a6bd8845819746ae9a6eddd691e92030f137edee5ba2e43
8     2764.0011     0x604ff64058421b4cd7c0a7e816868ccaec1686bc18693db9ccd9400a6b345abbc572b7c587eefb04c312a61951fdf0f5db4d7b6d164db565bc175f25bf1c3a889cec2b8f0a7525e   0x4528bc333402b31abd133b5d525bdeb105fc2b9fb6de8caa5e599c29be2095eab4550e69d52e815ce1d80408bc53e8b1521011c87067a3572a841208da2e9061a2359059c305aa2
9     2741.1906     0x6024c0c96d71f67b07c8ecdc23e124fe34094c51b48621cc09b94b29c5790264128a7bbb1a6cfdfd9b75be90a14b8755e2e7113debc8bbced55dea409d4c644974f04e9603e3648   0x7607edcd452d033134c730e5add94d2566c1f203b41bc6aafcdd5275caec85e7a7615d74ea1750b8413cac9c5af91855ababde198fcfa653c1ced5c8cd2f8083bce62931e2b6d3c
